epoch,loss,lr-Adam,seq_len,step,valid/recall_top_k
,,0.002,,49,
0,232.852294921875,,43.9765625,49,
,,0.002,,99,
0,214.77757263183594,,43.28125,99,
0,,,,102,0.6343123912811279
,,0.002,,149,
1,196.3819580078125,,43.93281173706055,149,
,,0.002,,199,
1,193.95977783203125,,44.46562576293945,199,
1,,,,205,0.672897219657898
,,0.002,,249,
2,193.4387969970703,,43.84218978881836,249,
,,0.002,,299,
2,183.53140258789062,,43.40625,299,
2,,,,308,0.694726288318634
,,0.002,,349,
3,185.13966369628906,,43.65312576293945,349,
,,0.002,,399,
3,178.8460693359375,,44.20156478881836,399,
3,,,,411,0.728905200958252
,,0.002,,449,
4,188.26153564453125,,43.384376525878906,449,
,,0.002,,499,
4,183.30589294433594,,43.77812576293945,499,
4,,,,514,0.7257676720619202
,,0.002,,549,
5,178.18560791015625,,43.837501525878906,549,
,,0.002,,599,
5,175.58615112304688,,44.095314025878906,599,
5,,,,617,0.7162883877754211
,,0.002,,649,
6,181.2105712890625,,43.52968978881836,649,
,,0.002,,699,
6,172.52032470703125,,44.22500228881836,699,
6,,,,720,0.7327103018760681
,,0.002,,749,
7,173.7274169921875,,44.015625,749,
,,0.002,,799,
7,177.76461791992188,,44.47343826293945,799,
7,,,,823,0.7345126867294312
,,0.002,,849,
8,169.2372283935547,,43.87031173706055,849,
,,0.002,,899,
8,179.51539611816406,,42.87343978881836,899,
8,,,,926,0.7365821003913879
,,0.002,,949,
9,164.91775512695312,,43.83437728881836,949,
,,0.002,,999,
9,183.32789611816406,,43.515625,999,
9,,,,1029,0.7428571581840515
,,0.001805,,1049,
10,188.4005126953125,,44.04999923706055,1049,
,,0.001805,,1099,
10,169.03968811035156,,44.392189025878906,1099,
10,,,,1132,0.7463951706886292
,,0.001805,,1149,
11,172.67953491210938,,44.66875076293945,1149,
,,0.001805,,1199,
11,176.33416748046875,,43.45156478881836,1199,
11,,,,1235,0.7385179996490479
,,0.001805,,1249,
12,169.4970703125,,43.375,1249,
,,0.001805,,1299,
12,172.00607299804688,,44.875,1299,
12,,,,1338,0.7463951706886292
,,0.001805,,1349,
13,173.80364990234375,,44.03750228881836,1349,
,,0.001805,,1399,
13,172.0489501953125,,43.67812728881836,1399,
13,,,,1441,0.7620827555656433
,,0.001805,,1449,
14,167.9019775390625,,43.70156478881836,1449,
,,0.001805,,1499,
14,178.16482543945312,,43.978126525878906,1499,
14,,,,1544,0.7404539585113525
,,0.001805,,1549,
15,177.67495727539062,,43.728126525878906,1549,
,,0.001805,,1599,
15,170.8765869140625,,43.109375,1599,
15,,,,1647,0.7544726133346558
,,0.001805,,1649,
16,173.40380859375,,43.79218673706055,1649,
,,0.001805,,1699,
16,169.9850616455078,,44.06562423706055,1699,
,,0.001805,,1749,
16,174.7476806640625,,43.04531478881836,1749,
16,,,,1750,0.7610814571380615
,,0.001805,,1799,
17,172.1871337890625,,43.50312423706055,1799,
,,0.001805,,1849,
17,159.89022827148438,,43.48749923706055,1849,
17,,,,1853,0.7589452862739563
,,0.001805,,1899,
18,175.36892700195312,,43.470314025878906,1899,
,,0.001805,,1949,
18,174.10467529296875,,45.37343978881836,1949,
18,,,,1956,0.7632843852043152
,,0.001805,,1999,
19,164.2982177734375,,43.92656326293945,1999,
,,0.001805,,2049,
19,177.36737060546875,,44.63125228881836,2049,
19,,,,2059,0.7570093274116516
,,0.0016290125,,2099,
20,163.12139892578125,,43.67656326293945,2099,
,,0.0016290125,,2149,
20,157.98373413085938,,43.78437423706055,2149,
20,,,,2162,0.7625500559806824
,,0.0016290125,,2199,
21,170.2532958984375,,44.09687423706055,2199,
,,0.0016290125,,2249,
21,163.93206787109375,,44.76874923706055,2249,
21,,,,2265,0.7572095990180969
,,0.0016290125,,2299,
22,159.12030029296875,,45.34062576293945,2299,
,,0.0016290125,,2349,
22,173.2552490234375,,44.29375076293945,2349,
22,,,,2368,0.7657543420791626
,,0.0016290125,,2399,
23,172.53895568847656,,43.06875228881836,2399,
,,0.0016290125,,2449,
23,165.279541015625,,43.68437576293945,2449,
23,,,,2471,0.7716288566589355
,,0.0016290125,,2499,
24,171.05433654785156,,42.95937728881836,2499,
,,0.0016290125,,2549,
24,172.03005981445312,,44.40156173706055,2549,
24,,,,2574,0.7580106854438782
,,0.0016290125,,2599,
25,166.17758178710938,,44.20781326293945,2599,
,,0.0016290125,,2649,
25,164.89846801757812,,44.4296875,2649,
25,,,,2677,0.7663551568984985
,,0.0016290125,,2699,
26,166.63540649414062,,44.34687423706055,2699,
,,0.0016290125,,2749,
26,165.37896728515625,,43.41718673706055,2749,
26,,,,2780,0.7641522288322449
,,0.0016290125,,2799,
27,170.03305053710938,,44.626564025878906,2799,
,,0.0016290125,,2849,
27,170.23483276367188,,42.97343826293945,2849,
27,,,,2883,0.7667557001113892
,,0.0016290125,,2899,
28,174.60311889648438,,44.99843978881836,2899,
,,0.0016290125,,2949,
28,159.41030883789062,,45.8125,2949,
28,,,,2986,0.758745014667511
,,0.0016290125,,2999,
29,162.97824096679688,,43.75468826293945,2999,
,,0.0016290125,,3049,
29,162.90577697753906,,44.07500076293945,3049,
29,,,,3089,0.767756998538971
,,0.00147018378125,,3099,
30,182.5528564453125,,43.62812423706055,3099,
,,0.00147018378125,,3149,
30,161.36900329589844,,44.41718673706055,3149,
30,,,,3192,0.7613484859466553
,,0.00147018378125,,3199,
31,165.15878295898438,,44.76250076293945,3199,
,,0.00147018378125,,3249,
31,171.6073455810547,,42.29218673706055,3249,
31,,,,3295,0.7650867700576782
,,0.00147018378125,,3299,
32,174.49429321289062,,44.27656173706055,3299,
,,0.00147018378125,,3349,
32,163.21665954589844,,42.65468978881836,3349,
32,,,,3398,0.7661548852920532
,,0.00147018378125,,3399,
33,154.14791870117188,,44.66875076293945,3399,
,,0.00147018378125,,3449,
33,163.65145874023438,,44.66093826293945,3449,
,,0.00147018378125,,3499,
33,166.32467651367188,,44.001564025878906,3499,
33,,,,3501,0.7762349843978882
,,0.00147018378125,,3549,
34,169.86190795898438,,42.96718978881836,3549,
,,0.00147018378125,,3599,
34,164.9564208984375,,44.15312576293945,3599,
34,,,,3604,0.7649532556533813
,,0.00147018378125,,3649,
35,168.83114624023438,,43.62343978881836,3649,
,,0.00147018378125,,3699,
35,171.47933959960938,,43.48749923706055,3699,
35,,,,3707,0.7613484859466553
,,0.00147018378125,,3749,
36,154.90771484375,,43.751564025878906,3749,
,,0.00147018378125,,3799,
36,168.11187744140625,,44.953125,3799,
36,,,,3810,0.7656208276748657
,,0.00147018378125,,3849,
37,162.74542236328125,,44.796875,3849,
,,0.00147018378125,,3899,
37,157.3872528076172,,45.03750228881836,3899,
37,,,,3913,0.7736982703208923
,,0.00147018378125,,3949,
38,168.68942260742188,,44.27968978881836,3949,
,,0.00147018378125,,3999,
38,165.12522888183594,,44.203125,3999,
38,,,,4016,0.7793057560920715
,,0.00147018378125,,4049,
39,162.07809448242188,,44.21406173706055,4049,
,,0.00147018378125,,4099,
39,171.08450317382812,,44.22968673706055,4099,
39,,,,4119,0.7767690420150757
,,0.001326840862578125,,4149,
40,164.24392700195312,,44.095314025878906,4149,
,,0.001326840862578125,,4199,
40,155.77870178222656,,43.48749923706055,4199,
40,,,,4222,0.7713618278503418
,,0.001326840862578125,,4249,
41,154.4993438720703,,44.75625228881836,4249,
,,0.001326840862578125,,4299,
41,155.07266235351562,,43.359375,4299,
41,,,,4325,0.7673564553260803
,,0.001326840862578125,,4349,
42,161.45516967773438,,44.29218673706055,4349,
,,0.001326840862578125,,4399,
